#include "setup.sqf"
Language,English,German
STR_i_mhq1,MHQ gets transported by airlift... you have to still waiting.,Das MHQ wird eben transportiert... du musst leider warten.
STR_i_mhq2,MHQ is currently driving... you have to still waiting.,Das MHQ fährt im Moment... du musst leider warten.
STR_i_mhq3,MHQ is currently in water... teleport not possible.,Das MHQ befindet sich im Wasser... Teleport nicht möglich.
STR_i_ahq1,AHQ is currently in water... teleport not possible.,Das AHQ befindet sich im Wasser... Teleport nicht möglich.
STR_i_tel1,Teleport not available in a vehicle !!!,Teleport nicht möglich in einem Fahrzeug !!!
STR_i_tel2,Teleporting not possible while swimming !!!,Teleport nicht möglich während des schwimmen !!!
STR_i_pinside,A player is inside the vehicle.,Ein Spieler befindet sich noch in dem Fahrzeug.
STR_i_t_has_owner,this truck has an another player as owner.,Dieser Truck gehoehrt einem anderen Spieler.
STR_i_destroyed,Destroyed!,Zerstoert!
STR_i_destbody,the radio tower is history,der Funkturm ist Geschichte
STR_i_hb,Not possible in a vehicle,Nicht moeglich in einem Fahrzeug
STR_i_owngroup,You cant join or leave your own group,Du kannst nicht deiner eigenen Gruppe beitreten oder diese verlassen.
STR_i_ai_dimissed,All your AI-soldiers are dismissed.,Alle deine KI-Soladetn wurden entlassen.
STR_i_another_player_dimissed,%1 has left your group.%1 hat deine Gruppe verlassen.
STR_i_mhq_d,Your MHQ was destroyed. It will respawn at your base.,Dein MHQ wurde zerstoert. Es wird bald wieder in deiner Basis zur Verfuegung stehen.
STR_i_ahq_d,Your AHQ was destroyed. It will respawn at your base.,Dein AHQ wurde zerstoert. Es wird bald wieder in deiner Basis zur Verfuegung stehen.
STR_i_any_d,One of your mobile spawn-vehicles was destroyed. It will respawn at your base.,Einer deiner mobilen Respawnfahrzeuge wurde zerstoert. Es wird bald wieder in deiner Basis zur Verfuegung stehen.
STR_i_mhq_nor,Oh no! your MHQ was destroyed once too often and is no longer available.,Oh nein! Dein MHQ wurde einmal zu viel zerstoert und steht dir nicht mehr zur Verfuegung.
STR_i_ahq_nor,Oh no! your AHQ was destroyed once too often and is no longer available.,Oh nein! Dein AHQ wurde einmal zu viel zerstoert und steht dir nicht mehr zur Verfuegung.
STR_a_nopara,You need a parachute pack first.,Du benoetigst einen Fallschirm fuer diese Aktion.
STR_i_openmap,Open your map to choose a parachute location - klick for this on the map.,Oeffne deine Karte um eine Absprungregion zu waehlen - Klick dazu mit der Maus auf die Karte.
STR_i_openmap2,Klick on the map to choose a parachute location.,Klick auf die Karte um eine Absprungzone zu waehlen.
STR_i_requ,Request,Anfrage
STR_i_accept,you was added to your favorite squad!,du wurdest in den Squad deiner Wahl aufgenommen!
STR_i_nopos,Sorry - I have no position for you at this time.,Tut mir leid aber ich habe im Moment keine Position fuer dich gefunden.
STR_i_request_is_set,Your request was transmitted - wait for an answer.,Deine Anfrage wurde weitergeleitet - warte auf eine Antwort.
STR_i_request_is_already_set,No multiple requests are possible.,Mehrere Anfragen nicht moeglich.
STR_i_tk,Teamkill,Teamkill
STR_i_tk_b,you got a negative score for a teamkill!,du bekommst Punkte abgezogen wegen eines Teamkills!
STR_i_pn_chnaged,The player %1 has changed his name. His old name was %2.,Der Spieler %1 hat seinen Namen geandert. Sein vorheriger Name war %2.
STR_i_autokick,Autokick,Autokick
STR_i_autokick_reason_tk,%1 has been kicked due to his %2 Team Kill.,%1 wurde gekickt wegen seines %2 Teamkills.
STR_i_autokick_reason_tk_ambu,%1 has been kicked due to his %2 destroyed mobile spawn.,%1 wurde gekickt weil er bereits %2 mal einen mobiles Spawnfahrzeug zerstoert hat.
STR_i_adminkick,Player was kicked,Spieler wurde gekickt
STR_i_adminkick_reason,%1 has been by %2.,%1 wurde gekickt von %2.
STR_i_bon_down,%1 is down and needs help,%1 wurde getroffen und braucht deine Hilfe



STR_d_backp,Take a Backpack,Rucksack nehmen
STR_d_backpi,click on picture to equip,klicke auf das Bild zum ausruesten
STR_d_cancel,Cancel,Abbruch
STR_d_hq,Headquarter,Hauptquartier
STR_d_mainmenu,Mainmenu,Hauptmenue
STR_d_back,Back,Zurueck
STR_d_supprequest,Requesting,Anfordern
STR_d_cost,Cost:,Kosten:
STR_d_score,Supp.Score:,Supp.Punkte:
STR_d_options,Graphic Settings,Grafik Optionen
STR_d_grass,Grass,Gras
STR_d_Environment,Environment,Umwelt
STR_d_avdist,Air Viewdistance, Luft Sichtweite
STR_d_vdist,Viewdistance,Sichtweite
STR_d_cgs,Clientside Graphic Settings,Spielereigene Grafikoptionen
STR_d_recruit,Recruiting,Rekrutieren
STR_d_rechint,Recruit your own AI-soldiers,Rekrutiere deine eigenen KI-Soldaten
STR_d_recuting,Recruiting,Rekrutieren
STR_d_accainum,current Groupzise:,aktuelle Gruppenstaerke:
STR_d_maxainum,maximum Groupzise:,maximale Gruppenstaerke:
STR_d_nolead,You must be a leader to recruit.,Du bist kein Gruppenfuehrer und kannst daher nicht rekrutieren.
STR_d_groups,Player Groups,Spieler Gruppen
STR_d_grphint,Join a other players group.,Tritt der Gruppe eines anderen Spielers bei.
STR_d_rech2,Weapons,Bewaffnung
STR_d_join,Join this Group,dieser Gruppe beitreten
STR_d_leavegrp,leave Group,Gruppe verlassen
STR_d_sms,Sidemissions,Nebenaufgaben
STR_d_admin,Administrator,Administrator
STR_d_adminhint,,
STR_d_noadmin,Sorry this tool is only for administrator avalible.,Dieses Tool ist leider nur fuer einen Administrator verfuegbar.
STR_d_smhint,choose a Task for earn extra points,Waehle eine Aufgabe um extra Punkte zu verdienen
STR_d_accept,Accept,Annehmen
STR_d_smbounty,Bounty:,Belohnung:
STR_d_nomembers,no other members in your group,keine weiteren Mitglieder in deiner Gruppe
STR_d_derecuting,Dismiss,Entlassen
STR_d_player_dimissed,You are withdrawn from your current group.,Du bist aus dener aktuellen Gruppe ausgetreten.
STR_d_dismiss_first,You are already a member of another group of players.,Du bist bereits Mitglied in einer anderen Spielergruppe.
STR_d_na,Vehicle is destroyed,Fahrzeug wurde zerstoert
STR_d_no_selfkick,You can't kick yourself,Du kannst dich nicht selbst kicken
STR_d_no_adminkick,You can't kick an admin,Du kannst keinen Admin kicken


